wins,loss
94,86
234,233
99,103
91,91
45,48
30,34
103,101
55,65
50,33
30,31
4,9
6,14
48,49
5,5
114,136
104,100
14,11
9,10
151,152
53,41
67,48
42,25
31,27
36,32
43,34
55,58
29,46
81,65
23,17
20,12
93,69
101,66
102,90
69,56
26,29
17,6
40,49
101,60
25,9
139,153
93,94
107,120
76,72
23,26
7,3
35,31
48,49
24,15
144,143
57,66
33,26
82,69
40,36
31,29
96,97
30,40
13,9
20,19
57,47
39,35
190,191
76,41
70,34
101,77
69,63
62,46
68,56
126,121
40,59
20,9
27,18
115,116
25,29
32,16
90,93
26,27
71,44
50,70
49,55
37,22
60,43
75,50
188,180
28,41
58,73
71,61
109,84
29,40
124,94
124,140
28,17
44,44
40,23
55,64
90,63
19,14
116,136
18,14
68,67
67,78
28,24
32,20
37,27
22,21
31,19
27,13
22,5
29,28
46,46
41,36
141,106
44,49
46,40
45,21
84,70
64,70
93,81
38,36
130,130
54,54
85,74
48,60
76,80
58,63
44,36
11,1
19,27
70,73
133,119
89,77
22,14
47,46
76,71
38,46
18,24
69,77
43,29
81,28
36,23
96,64
36,27
26,12
127,122
22,15
70,72
122,121
118,133
11,5
36,27
24,23
62,54
22,24
66,51
65,65
113,109
49,48
55,60
28,33
30,14
20,21
27,29
32,22
84,73
21,13
111,106
103,110
31,24
60,60
72,67
51,54
29,18
64,75
32,26
47,27
27,43
89,89
40,47
5,7
39,35
25,17
77,52
44,42
24,28
59,50
26,33
34,42
33,38
41,26
55,49
46,46
27,26
71,58
15,17
54,43
46,57
33,40
33,24
97,83
33,30
46,32
23,22
86,90
45,39
56,51
51,31
45,52
5,5
141,111
190,168
86,100
103,100
52,57
86,92
60,78
17,12
75,70
87,107
160,160
49,57
112,111
86,76
39,32
38,24
60,46
9,1
22,18
13,3
19,16
28,22
27,21
176,167
64,63
20,28
25,16
35,28
33,31
68,55
40,20
17,11
38,43
60,47
75,67
62,68
168,178
80,64
37,26
33,22
66,20
115,82
53,49
43,27
79,64
42,39
83,85
51,57
83,72
66,33
24,23
82,71
21,20
29,23
33,33
39,49
57,58
41,45
86,82
16,15
52,46
90,80
124,95
139,122
71,80
8,3
120,94
17,9
18,17
32,11
74,57
35,27
48,52
57,25
79,53
33,43
128,93
43,30
23,23
100,93
119,113
47,36
63,49
16,10
49,43
63,33
25,10
56,51
109,100
47,55
55,43
29,30
118,99
122,117
25,28
106,91
39,28
31,18
69,54
84,76
51,58
48,43
35,27
29,27
47,52
54,59
20,22
18,12
60,70
23,34
155,166
19,5
26,27
86,80
54,62
36,39
97,55
32,14
8,11
95,71
40,28
8,2
61,67
59,59
166,157
49,60
82,60
58,52
34,26
36,39
27,20
25,10
39,35
61,54
122,112
19,23
27,30
28,52
19,16
120,91
19,13
78,67
50,50
145,124
24,34
105,106
53,45
52,53
67,71
17,9
74,70
70,59
102,83
21,24
14,7
27,26
8,6
51,54
75,61
7,5
22,19
77,84
59,45
41,45
22,22
79,73
30,25
60,37
99,104
23,28
21,17
67,62
15,18
51,49
13,12
58,46
82,102
129,97
61,58
74,65
63,50
103,113
32,29
62,48
188,198
74,58
44,24
56,66
51,56
90,81
28,25
87,77
66,70
69,64
55,64
30,31
14,2
27,26
122,107
64,68
69,67
89,74
64,40
57,44
50,44
31,33
102,84
27,21
15,7
29,24
22,13
66,46
102,97
36,23
21,10
49,34
43,44
52,44
25,30
23,22
20,11
26,33
29,15
144,150
35,38
30,28
31,37
131,100
43,46
15,10
51,44
93,80
31,18
25,8
40,44
26,22
113,134
50,39
70,86
106,85
105,102
86,77
42,42
41,39
9,3
67,69
72,88
17,26
21,13
51,43
63,76
62,46
100,93
79,71
29,16
7,4
61,70
79,65
101,99
303,303
78,92
102,97
27,32
25,27
49,33
136,127
16,10
28,26
61,54
18,6
29,32
117,89
61,62
95,81
68,74
16,18
55,60
143,92
122,116
76,72
74,54
42,34
34,31
17,6
20,18
60,62
97,91
28,27
16,19
105,103
25,31
42,43
90,63
19,14
116,136
18,14
68,67
16,8
122,131
54,49
46,44
22,8
58,68
44,58
17,17
14,15
46,47
35,31
145,151
52,38
33,37
15,17
31,35
19,25
105,100
147,142
82,87
65,50
29,19
34,30
91,95
21,33
58,60
45,49
117,122
6,21
52,54
123,126
79,71
32,28
42,32
43,39
28,24
28,28
135,155
209,182
53,44
93,88
42,45
45,52
78,65
22,24
40,23
29,22
25,27
17,8
135,94
18,20
16,11
25,21
64,48
121,123
21,17
42,40
76,80
59,54
39,46
50,50
53,60
104,100
20,29
32,32
147,160
106,89
25,18
26,26
23,17
84,71
83,78
36,33
68,52
60,50
92,77
46,40
20,34
58,31
108,89
61,47
32,27
18,11
40,21
39,27
30,29
117,82
120,106
6,8
49,40
54,48
36,29
20,25
18,13
17,11
35,30
54,32
57,72
60,46
146,166
36,26
112,96
80,99
57,56
14,12
55,41
47,40
34,29
14,17
26,23
45,31
105,89
30,36
65,73
52,31
34,36
89,96
87,42
43,46
93,96
27,14
22,5
129,104
21,24
26,26
11,12
54,58
25,14
41,43
28,31
45,46
75,80
98,99
43,36
12,8
54,58
16,15
24,29
41,49
87,79
7,12
41,41
46,51
12,9
201,208
25,23
68,51
56,49
62,74
16,23
24,10
73,64
37,36
32,30
43,21
65,61
92,80
24,30
28,32
21,27
44,50
27,10
61,73
56,68
22,20
22,23
48,46
19,8
40,25
68,63
57,71
101,86
71,41
113,76
123,129
55,62
49,31
39,42
82,107
50,42
64,61
22,15
41,41
39,41
69,65
92,74
83,82
53,43
14,15
95,109
130,131
25,29
75,70
31,28
77,68
19,27
56,56
68,59
36,31
85,74
118,99
122,117
25,28
106,91
39,28
151,117
40,38
91,67
26,16
35,30
21,18
84,71
68,53
59,43
26,16
82,92
166,175
40,38
41,48
60,52
36,31
27,32
26,16
12,11
52,52
92,87
102,115
74,67
30,24
46,58
33,37
32,29
40,47
70,63
42,49
72,60
243,202
63,68
113,83
16,11
19,12
21,15
10,18
88,83
26,25
113,105
16,12
76,64
73,51
56,48
45,46
95,84
55,52
29,20
152,147
16,20
74,57
72,50
94,85
36,37
28,25
78,60
40,40
46,50
38,29
40,55
75,27
27,30
69,76
45,43
28,25
16,21
18,7
25,26
56,63
29,27
84,78
41,49
118,113
90,88
81,69
40,28
58,41
50,44
14,5
30,26
57,47
136,119
95,85
43,41
40,50
66,80
55,38
36,34
56,58
17,24
66,54
79,61
98,82
25,20
8,3
44,47
18,14
22,14
73,65
15,16
52,40
26,16
74,87
22,10
60,60
27,10
71,69
49,48
39,30
23,15
27,26
75,81
59,42
17,11
178,171
66,58
71,57
61,73
26,21
21,10
29,23
39,32
70,63
47,59
29,41
139,145
40,16
126,130
46,55
82,71
59,58
168,132
52,54
133,97
62,58
67,74
66,50
10,0
37,25
33,21
27,28
23,19
54,42
60,62
60,52
20,13
34,38
12,6
42,50
34,30
69,72
85,38
44,35
69,59
117,98
61,46
93,83
20,21
42,32
35,32
54,35
22,20
13,6
9,8
30,12
38,30
69,57
106,117
43,34
82,60
24,14
92,77
51,42
65,72
51,62
33,30
28,17
75,74
61,58
47,52
91,77
104,97
90,72
68,67
39,41
13,9
37,26
57,43
119,94
183,148
45,38
41,42
35,36
22,22
23,12
62,56
23,20
38,37
67,64
16,8
122,131
54,49
46,44
22,8
26,23
60,62
26,24
19,6
34,30
30,20
103,81
11,9
56,60
49,54
26,21
20,7
22,14
26,19
85,110
83,93
96,82
10,14
38,33
49,43
20,16
37,30
19,16
149,145
32,36
65,75
37,33
37,37
135,118
16,13
99,113
47,22
207,187
20,11
79,51
20,24
88,80
33,21
69,59
37,30
32,31
70,58
14,6
47,49
112,135
100,69
173,150
34,30
15,26
21,20
34,22
46,37
132,123
71,55
23,27
20,14
83,69
49,46
42,42
84,83
37,35
44,47
29,25
26,32
53,38
20,20
51,45
25,25
99,85
49,32
86,80
37,29
24,25
55,66
39,51
40,32
44,49
20,11
32,32
80,27
77,80
37,31
70,49
17,24
43,36
29,28
47,52
83,69
64,15
60,64
58,31
96,96
54,42
51,45
23,20
43,30
40,34
93,93
94,94
62,40
55,48
57,43
81,95
67,59
66,61
45,53
54,45
33,10
142,173
13,9
10,5
74,62
164,177
44,42
87,82
43,41
90,66
10,6
19,16
17,21
62,36
66,55
131,118
156,150
38,47
54,37
73,70
76,85
75,58
17,12
33,23
83,80
54,17
81,80
29,36
57,68
31,32
27,23
19,23
23,32
42,29
31,31
191,146
69,73
34,29
55,41
40,43
112,109
111,90
39,34
52,50
35,49
70,63
45,18
19,25
68,72
89,70
103,69
36,32
70,45
17,19
32,38
105,117
51,46
28,28
137,124
70,67
29,30
67,64
29,24
84,98
117,108
45,51
66,55
41,33
50,34
44,30
39,48
30,33
31,37
141,128
4,6
14,15
74,58
24,12
61,65
99,88
25,29
86,79
48,48
107,90
25,19
31,20
18,15
22,21
7,10
94,70
20,17
17,18
29,28
151,117
40,38
91,67
26,16
35,30
150,128
29,24
143,120
104,82
32,41
125,115
55,63
153,164
153,142
28,32
57,46
28,28
67,69
27,19
37,38
42,42
41,36
35,45
26,24
66,61
78,63
21,21
56,46
43,40
36,37
72,71
47,52
96,92
27,23
111,98
12,10
28,22
107,93
15,12
19,9
87,81
44,44
49,60
46,40
41,29
32,40
46,31
36,33
39,35
32,41
83,79
28,21
170,149
18,11
4,6
33,33
68,64
77,91
31,32
93,38
68,66
75,99
22,15
119,130
24,23
5,5
82,73
22,28
12,9
120,115
8,17
45,35
31,33
35,22
146,128
136,139
21,8
22,33
80,76
120,116
47,46
42,46
86,53
66,51
31,28
96,104
13,11
27,31
65,69
56,42
17,14
27,28
6,11
19,7
62,19
71,68
37,40
65,55
21,21
41,34
68,58
80,51
28,12
33,32
17,20
24,18
16,19
37,49
62,54
105,98
69,57
75,88
58,36
31,30
117,107
16,15
54,34
18,15
84,84
69,51
32,31
22,15
89,95
68,66
123,142
24,15
42,44
45,45
46,41
62,58
52,39
71,63
46,51
8,11
73,57
48,29
46,40
71,71
48,39
74,62
78,70
50,49
44,37
65,49
35,22
53,9
95,117
153,140
57,68
67,82
130,139
71,90
67,54
57,33
53,51
44,49
25,18
39,36
29,16
173,188
51,36
23,19
16,16
73,68
62,50
23,16
52,29
53,41
70,75
28,38
13,5
15,24
33,17
97,102
29,22
32,28
28,27
72,44
84,78
35,34
44,36
21,17
30,37
111,97
152,161
50,43
76,73
33,35
18,18
67,76
134,127
48,50
135,103
22,14
15,10
25,22
15,10
89,74
35,29
88,74
28,15
22,14
16,13
30,36
36,3
26,23
60,62
26,24
19,6
34,30
58,42
52,49
73,72
48,56
45,52
87,87
85,41
81,45
20,23
14,15
31,13
30,22
24,20
85,92
44,72
48,33
82,73
79,84
18,7
22,20
118,99
63,55
34,26
39,46
58,56
18,16
33,22
194,185
35,27
19,10
51,61
80,75
81,70
32,34
49,36
16,14
39,24
54,45
79,78
38,28
45,36
100,73
52,35
36,24
126,135
102,101
59,15
18,22
87,79
104,84
112,116
47,48
52,36
74,96
97,94
92,74
70,52
120,107
20,15
74,82
75,56
48,29
23,30
24,17
47,44
74,61
40,39
17,19
109,39
155,110
22,29
52,56
50,42
24,14
15,25
61,46
67,56
39,44
17,14
48,32
43,42
50,46
22,7
49,63
51,43
77,46
103,118
47,52
55,55
25,28
16,16
103,113
28,20
55,61
67,47
10,7
22,9
105,106
98,82
59,68
50,62
61,66
49,54
53,36
109,77
43,38
94,89
33,46
23,21
154,125
23,29
15,25
39,22
32,24
39,26
30,31
4,6
36,21
68,83
28,27
37,38
80,94
113,112
93,88
26,22
26,30
20,13
27,22
24,26
66,51
49,50
52,60
43,37
19,20
5,11
27,16
69,59
20,33
97,111
79,96
32,21
40,24
40,44
20,10
37,29
30,25
50,53
86,72
26,17
25,37
22,13
42,36
27,25
14,8
44,32
73,99
43,49
8,2
18,19
25,12
47,36
143,152
29,26
79,81
75,72
41,53
46,42
41,32
79,73
84,77
64,60
25,24
27,21
22,13
87,71
48,53
8,5
60,50
72,69
22,17
9,9
47,40
20,16
55,49
37,38
30,29
62,69
27,34
14,7
93,100
34,40
153,146
38,49
100,93
90,82
95,108
28,32
110,96
14,15
18,27
150,128
29,24
143,120
104,82
32,41
35,42
35,35
125,104
134,117
44,30
40,42
15,11
48,35
80,67
125,119
38,39
41,42
52,58
82,72
96,71
9,21
35,31
43,37
70,30
17,11
19,7
26,26
67,53
56,65
14,6
94,83
161,140
57,55
47,53
28,33
83,63
55,48
29,22
41,30
17,32
49,28
21,12
11,5
15,6
21,14
52,36
88,93
68,67
60,56
24,17
53,61
50,36
83,88
30,24
27,27
42,38
29,18
32,35
46,40
47,56
56,51
85,81
49,31
112,91
62,64
103,96
20,18
32,29
20,10
85,95
29,37
65,71
63,63
29,21
20,10
38,40
19,9
21,14
36,47
35,40
83,74
68,71
30,17
35,33
60,49
43,37
40,29
86,73
39,43
16,14
98,75
49,41
29,33
19,19
12,18
65,50
36,41
50,49
42,40
65,56
25,17
61,63
38,38
83,105
23,2
109,91
115,127
82,81
39,41
40,51
25,11
43,51
51,51
100,109
53,76
12,17
55,57
22,16
79,77
39,50
120,114
167,186
25,16
7,10
59,66
38,45
55,92
70,80
43,37
20,12
17,7
133,122
47,34
45,39
39,48
98,75
106,88
38,19
65,66
33,26
60,51
93,113
22,19
39,45
60,56
60,47
53,54
81,66
156,143
53,38
110,138
21,13
177,162
20,14
31,41
32,27
25,16
36,39
83,100
121,99
32,22
57,34
143,149
82,73
42,44
40,30
21,26
24,13
98,66
13,5
23,28
4,6
93,89
17,14
18,13
90,89
25,24
68,67
78,66
19,27
82,65
24,16
24,26
43,31
114,127
53,40
90,76
33,34
23,15
21,14
24,31
40,43
113,109
49,63
25,23
73,50
65,58
23,22
90,96
54,41
62,58
35,22
129,127
43,35
65,52
58,42
52,49
73,72
48,56
45,52
176,182
78,48
139,124
38,32
72,58
32,45
45,45
31,20
10,3
102,67
40,41
44,38
40,37
16,15
66,43
34,29
23,17
78,73
94,99
62,62
48,43
37,24
106,97
34,35
22,19
16,13
49,59
58,73
36,30
40,42
12,23
96,75
64,53
41,39
53,40
41,29
90,87
78,90
135,88
76,83
28,22
77,84
21,19
18,8
37,45
65,53
74,56
102,82
106,93
139,118
93,80
46,41
21,18
39,39
133,115
59,62
86,81
76,44
27,28
24,28
40,39
14,14
42,28
46,31
74,62
57,56
50,44
148,133
87,78
16,24
28,24
47,39
30,30
6,5
22,14
106,115
40,40
119,113
35,40
27,14
70,62
23,21
58,39
62,65
29,22
44,41
56,46
56,39
122,111
88,84
98,85
130,124
7,5
60,46
15,24
51,34
60,51
37,31
25,33
46,41
34,26
29,36
29,42
24,27
65,70
18,11
25,22
38,36
104,118
31,27
16,21
23,20
25,24
46,51
18,17
26,17
28,40
61,63
29,19
109,84
7,8
13,17
62,48
99,99
42,29
7,9
36,34
23,20
34,35
56,55
43,40
105,81
24,16
83,61
63,64
35,36
35,27
30,33
30,31
36,36
158,165
85,83
15,8
17,9
19,20
27,14
28,25
9,10
43,25
14,16
42,31
98,78
30,31
41,42
60,53
39,61
48,31
2,10
43,43
59,71
93,90
30,25
34,21
28,30
26,37
108,67
57,55
9,4
50,49
19,14
61,49
24,26
29,47
49,30
92,100
41,47
31,46
27,35
32,44
54,64
62,53
37,28
43,44
86,93
59,66
27,11
49,33
33,27
65,70
63,81
45,49
50,55
19,18
41,53
20,27
133,157
128,133
37,35
41,48
41,50
35,42
35,35
125,104
134,117
44,30
83,80
95,73
71,46
20,24
37,36
30,36
136,131
129,116
26,31
24,23
46,48
18,22
67,48
65,62
124,116
17,13
80,47
52,48
77,90
23,14
29,9
34,26
23,17
34,36
20,20
31,29
31,25
107,100
35,34
48,51
44,38
35,28
69,90
57,48
46,37
74,76
81,71
28,21
23,31
58,45
59,41
89,81
26,27
59,57
7,10
122,127
24,27
23,21
10,1
40,39
71,94
64,31
51,29
54,63
110,76
41,37
56,39
51,41
33,39
90,84
44,47
19,30
46,41
61,56
54,68
7,7
75,70
51,54
7,3
49,59
11,12
34,32
82,92
45,46
58,61
61,49
113,77
24,14
30,31
32,18
12,16
23,12
40,41
34,17
14,10
18,7
85,83
51,53
93,79
23,8
91,92
52,62
106,56
32,25
38,42
57,41
79,75
36,45
36,36
44,36
72,59
75,77
71,48
55,56
97,80
76,64
30,43
57,52
77,64
38,37
27,19
19,11
13,14
28,16
70,42
86,83
46,43
48,44
28,22
53,50
82,60
114,104
46,36
48,50
79,65
86,91
78,78
40,50
74,79
91,85
57,65
57,52
58,39
33,42
19,12
20,19
24,18
79,63
21,16
57,71
144,136
93,106
7,6
45,41
68,41
173,168
93,98
69,69
130,136
37,32
64,65
25,18
27,21
65,58
24,16
49,42
27,21
62,52
22,14
197,143
23,18
57,45
136,145
27,32
36,26
28,12
38,25
26,33
32,24
50,44
42,44
86,70
23,21
28,28
74,49
62,47
58,63
90,88
81,83
35,21
21,18
96,62
64,70
46,36
73,85
189,175
43,31
61,62
85,88
14,21
118,92
31,21
79,27
42,37
54,78
57,44
20,39
37,33
18,16
43,16
176,182
78,48
139,124
38,32
72,58
35,43
47,46
81,57
12,10
50,32
23,22
52,43
42,55
35,46
22,9
18,12
78,85
115,81
25,6
83,72
183,184
28,30
17,18
85,80
13,19
50,52
36,39
27,25
20,13
61,50
50,29
58,49
89,66
13,13
13,27
41,37
129,132
52,47
79,76
25,17
59,46
33,21
31,45
29,27
25,23
85,85
26,17
31,29
87,84
64,58
29,37
24,22
35,29
58,52
39,31
83,64
38,49
48,33
98,92
60,74
35,39
113,110
52,53
26,23
49,42
152,131
79,71
144,108
25,17
92,79
48,46
19,12
96,105
43,39
21,17
33,32
44,40
31,35
74,80
170,188
97,86
98,103
20,11
39,34
47,49
33,25
91,84
75,64
9,3
57,63
45,38
21,12
55,41
43,38
143,127
35,34
24,29
110,98
34,34
47,46
23,19
28,24
80,91
42,29
21,28
23,6
46,47
71,73
66,70
24,22
50,29
109,67
47,31
28,33
16,16
126,119
27,28
37,41
61,54
95,71
19,22
70,84
32,31
110,75
78,77
82,72
29,20
24,18
102,83
6,4
95,81
35,24
61,87
46,41
78,71
29,17
23,17
66,69
39,34
120,111
36,24
49,48
77,88
96,112
32,34
7,10
31,31
95,56
55,45
122,120
21,22
22,24
77,58
26,25
32,27
85,73
36,32
59,53
15,14
55,47
20,12
52,53
77,76
63,60
108,93
62,76
59,51
143,129
23,20
37,24
62,71
78,90
35,26
78,78
22,17
19,13
36,45
113,109
52,55
51,56
24,23
55,62
40,35
77,76
11,21
128,119
70,77
101,120
49,51
54,52
45,42
92,68
7,3
39,46
30,34
24,12
65,73
36,36
72,77
24,18
26,29
24,22
24,14
58,51
55,58
83,80
95,73
71,46
20,24
37,36
78,54
52,53
45,38
13,12
97,74
58,52
32,32
11,23
73,78
94,81
75,43
51,51
187,159
34,45
20,22
47,36
68,77
101,93
41,30
70,54
32,38
41,34
146,120
33,22
19,10
34,17
61,53
72,80
26,17
34,49
126,127
74,81
49,61
21,12
28,27
75,60
11,7
32,32
19,19
104,102
20,19
30,31
55,36
79,88
50,54
73,81
45,46
65,56
31,26
50,63
99,95
21,15
138,121
110,94
26,29
41,39
15,13
33,31
61,55
12,11
34,28
44,42
