wins,loss
12,11
6,9
2,8
14,8
3,9
13,22
43,39
25,29
11,15
15,6
14,9
8,15
12,14
32,39
11,17
42,49
21,19
12,19
4,6
18,18
14,16
5,7
8,5
8,7
14,21
16,21
6,10
6,8
12,18
10,16
13,13
36,41
15,19
10,11
4,6
13,19
13,10
39,34
84,95
20,11
10,9
10,6
15,27
5,6
13,10
13,16
93,109
9,1
9,6
19,17
10,9
9,3
23,20
12,19
4,13
15,11
10,6
69,78
4,6
2,11
41,48
9,10
31,30
12,11
13,8
77,98
51,37
13,4
10,14
5,7
15,23
12,7
2,11
6,10
28,29
6,23
4,7
19,9
5,8
22,20
7,8
11,5
35,43
4,6
3,11
13,18
26,27
20,26
5,8
8,10
18,17
11,7
35,35
17,25
4,10
97,89
13,5
27,34
11,7
59,66
21,28
12,13
7,14
13,10
11,11
14,23
4,6
26,25
6,4
6,6
5,7
31,30
15,16
9,6
23,15
6,9
4,11
14,28
5,8
13,8
53,40
7,10
21,24
51,35
27,38
11,12
2,9
31,41
11,1
38,54
10,5
8,10
11,10
28,40
6,6
16,18
10,14
10,9
17,27
9,10
12,15
20,18
15,14
34,35
10,16
20,31
17,13
31,25
20,16
15,13
62,47
24,29
20,19
13,7
21,19
131,125
6,13
8,2
37,45
10,4
17,12
5,8
12,12
8,13
69,75
51,34
3,9
10,11
11,7
6,6
5,16
7,8
15,23
16,22
8,3
56,26
4,6
6,10
4,8
12,11
6,4
8,7
101,111
19,42
75,64
11,12
39,49
7,5
14,24
53,60
18,7
4,8
59,62
16,16
7,7
4,8
15,7
12,9
18,26
3,7
14,22
17,27
8,6
8,9
52,57
19,22
5,5
35,41
8,9
11,9
56,51
10,9
13,17
9,10
27,32
61,82
17,19
33,38
11,14
4,10
6,10
18,19
6,4
4,7
8,14
12,28
39,42
34,32
7,6
6,6
13,9
4,15
5,14
0,10
8,7
4,6
7,5
5,6
24,17
17,15
17,21
15,11
10,7
14,24
3,8
8,8
6,4
21,30
15,18
12,17
16,14
18,10
4,15
10,24
8,8
18,17
6,4
15,5
6,5
14,15
27,36
42,45
7,6
5,5
12,18
32,33
15,10
