wins,loss
8,16
52,71
2,9
2,11
6,12
9,24
11,26
28,28
21,29
33,34
31,32
32,28
18,43
9,18
18,25
15,23
39,50
7,11
55,58
16,38
12,22
38,55
12,17
10,15
10,18
17,30
7,15
2,9
7,12
6,17
27,49
23,31
23,28
22,46
24,46
13,19
112,133
31,44
2,8
6,13
12,16
6,12
12,14
2,11
18,28
7,12
6,26
6,11
12,87
2,10
3,11
34,38
7,16
24,42
6,10
18,35
13,14
21,43
16,27
18,35
6,16
19,33
35,33
12,25
15,20
1,11
37,49
16,19
3,8
20,31
25,48
3,7
86,97
6,13
3,9
32,46
49,70
38,75
1,10
7,20
7,14
4,13
16,20
14,19
30,47
6,18
24,32
33,64
2,11
14,19
6,17
86,120
36,47
87,97
14,12
76,102
5,22
8,15
2,15
1,9
6,11
44,66
8,11
12,26
3,9
12,30
36,50
3,10
14,24
2,8
27,37
16,33
5,9
9,24
7,10
2,8
11,15
14,17
6,20
80,104
26,31
5,17
83,103
19,37
29,42
0,13
4,9
72,76
12,15
10,15
18,24
39,41
9,12
63,72
41,45
1,9
3,13
6,11
49,84
6,11
17,35
3,17
4,13
19,30
4,12
14,18
11,19
5,15
4,13
17,30
14,27
9,12
2,8
10,16
75,75
16,33
34,55
100,154
33,55
33,57
53,62
15,20
14,26
3,12
4,8
31,52
7,12
28,39
4,12
12,11
15,27
3,11
5,12
14,21
14,25
5,9
14,24
5,16
6,21
15,29
40,46
1,10
39,72
21,31
12,24
11,16
16,13
23,43
7,12
14,16
25,35
4,15
2,8
2,10
61,68
109,150
3,11
70,92
7,14
1,11
48,56
7,13
35,41
3,12
15,23
28,28
1,9
41,42
25,29
31,80
26,41
8,16
29,37
7,20
9,24
25,40
16,19
9,16
7,13
23,21
8,12
17,25
4,14
35,35
6,19
17,27
14,22
25,25
10,14
4,11
91,104
49,80
4,12
15,41
17,22
6,15
2,8
5,10
11,14
61,94
8,11
7,12
30,29
5,10
10,18
38,53
21,44
8,19
47,86
40,45
127,140
0,11
26,33
182,199
17,25
5,11
27,37
5,12
10,23
12,41
3,12
17,26
19,28
7,16
51,62
19,21
4,11
32,47
6,11
15,24
20,28
11,34
58,70
3,10
15,24
32,50
83,107
8,15
4,14
17,25
6,13
2,9
61,75
27,62
12,14
4,11
2,13
14,16
1,9
13,20
11,25
13,20
21,28
4,15
2,8
7,15
31,37
14,13
23,34
1,9
40,50
49,66
12,15
4,21
64,72
4,11
6,23
9,14
7,20
39,36
32,42
64,64
9,13
26,61
13,14
9,16
6,12
25,37
61,70
27,41
19,26
17,24
6,9
10,30
4,12
49,62
6,11
17,31
59,80
22,35
1,10
6,16
9,18
57,82
6,12
3,13
2,11
10,20
3,9
62,74
10,12
35,53
13,15
8,14
6,15
10,22
13,28
34,41
2,8
5,13
5,14
46,53
14,30
40,45
2,13
10,14
39,38
33,47
7,15
4,8
41,51
2,8
28,53
33,40
4,11
3,15
37,44
1,11
55,75
104,113
6,10
34,45
24,42
15,20
11,20
67,81
58,68
1,10
11,12
26,42
40,67
3,14
14,22
7,13
2,10
59,67
14,33
6,14
4,8
5,11
7,11
29,32
2,8
9,39
26,40
8,19
11,30
54,62
39,79
18,36
5,9
7,43
28,59
102,118
2,9
16,32
33,49
74,83
4,14
8,21
5,14
14,22
79,85
16,31
3,14
19,27
31,44
1,11
37,70
2,9
83,146
49,45
42,50
4,20
5,10
24,47
2,10
10,17
13,26
8,12
1,10
11,18
23,56
16,26
1,10
30,39
3,12
14,40
9,19
22,30
14,20
9,24
1,9
8,12
13,19
21,28
6,12
37,55
2,11
18,28
7,12
6,26
6,11
1,12
49,77
13,16
4,14
13,20
7,9
39,64
60,84
6,15
37,53
85,98
70,102
20,28
17,29
48,53
20,35
35,43
56,70
19,21
1,10
100,112
51,66
25,36
1,17
12,22
5,14
14,24
9,15
25,31
6,10
2,9
17,19
10,17
4,9
0,10
31,45
6,15
7,20
37,42
23,35
10,24
6,9
36,56
3,10
36,42
31,63
17,29
19,35
34,59
11,38
2,10
7,15
1,9
10,15
15,40
9,19
13,21
5,10
18,51
1,9
8,29
21,23
6,19
17,26
20,28
8,23
16,24
2,11
3,11
21,31
13,16
23,30
30,26
22,33
16,19
16,72
13,16
18,24
24,33
38,49
16,31
58,64
54,71
19,34
19,26
11,25
4,13
30,40
9,23
1,10
18,33
15,18
10,22
21,25
2,11
6,17
32,30
13,17
2,10
99,100
47,99
68,74
2,11
4,13
17,19
3,12
27,48
16,32
2,12
15,30
12,36
4,9
8,17
14,15
26,39
33,40
2,8
23,36
15,16
27,44
9,12
11,21
21,24
35,33
19,38
11,23
8,20
14,25
3,14
28,43
24,24
9,13
28,36
5,12
4,14
11,17
1,12
10,25
6,10
22,30
18,32
5,11
8,10
9,21
2,10
29,44
3,13
2,10
22,28
16,31
27,30
12,20
30,38
6,12
12,25
18,28
4,12
19,21
23,35
36,44
36,45
30,43
7,19
27,70
7,12
49,66
11,15
8,16
25,31
7,20
19,28
23,28
28,31
16,24
11,17
15,30
14,17
22,43
28,34
2,12
42,61
21,33
14,32
6,14
12,23
5,17
45,55
52,63
81,86
8,10
5,13
22,43
4,13
17,21
2,9
3,9
6,12
22,17
1,10
7,13
47,86
40,45
127,140
0,11
26,33
35,48
30,40
11,31
12,17
6,10
26,32
28,37
14,24
21,35
23,29
18,52
12,13
26,25
11,24
10,19
84,99
6,11
6,13
25,34
2,10
2,9
33,68
4,25
2,9
25,27
22,30
26,40
11,29
2,8
1,9
4,14
12,16
2,11
13,25
56,76
13,20
14,23
15,17
21,19
12,27
26,34
0,10
38,61
13,19
106,168
72,103
2,8
4,14
13,21
12,21
20,26
32,45
16,16
9,23
57,95
10,19
18,25
10,14
21,23
26,39
3,11
30,34
1,9
1,10
9,13
3,34
2,10
6,13
40,61
29,30
50,58
18,36
5,6
21,39
16,35
10,22
14,21
13,13
22,33
24,24
42,56
11,12
12,27
2,10
13,22
2,16
16,27
19,18
23,37
13,21
11,18
34,52
5,12
18,31
5,13
18,43
13,11
29,48
13,23
3,11
13,25
49,61
10,20
24,46
3,10
26,33
84,122
6,12
6,12
46,53
97,149
19,23
59,63
12,33
2,12
5,10
33,30
7,38
0,10
40,52
10,16
130,34
27,40
14,22
19,25
5,17
36,45
46,60
43,60
2,8
20,24
14,22
12,27
2,12
13,29
5,30
1,10
10,32
29,45
45,54
1,10
40,50
30,26
2,10
36,54
33,33
15,14
24,27
10,14
45,59
60,88
8,17
34,50
26,40
1,11
1,9
20,42
25,26
35,49
17,28
2,11
7,15
18,33
27,34
9,13
5,36
13,20
15,24
35,43
24,37
13,25
13,23
1,11
56,87
50,52
7,10
50,60
34,52
12,17
39,72
24,40
13,29
13,32
51,59
32,38
23,33
12,20
40,53
16,17
3,10
23,26
18,50
15,22
94,117
64,81
2,15
21,31
19,37
23,42
13,18
1,12
49,77
13,16
4,14
13,20
5,17
26,46
6,19
11,24
2,11
30,41
26,43
4,9
17,32
12,26
13,15
15,20
13,18
5,11
4,12
26,37
13,20
9,14
9,28
9,24
38,36
36,47
11,14
6,19
44,66
8,13
29,35
24,38
80,79
11,25
2,8
49,54
35,45
20,40
3,13
11,16
20,45
25,47
8,16
3,9
11,14
10,22
17,35
60,69
5,18
11,31
1,13
59,68
3,8
16,22
20,23
14,23
14,22
12,13
14,18
9,13
10,14
1,9
11,16
20,30
7,11
12,21
8,16
15,29
72,82
7,19
8,15
10,20
8,16
4,12
36,53
12,19
14,37
4,10
3,11
5,12
5,9
10,19
3,16
33,38
2,14
34,67
36,48
24,33
4,9
26,30
3,14
86,98
28,33
10,15
20,25
21,22
56,76
24,31
3,8
28,42
5,13
4,10
37,62
2,8
39,47
19,30
8,15
1,9
35,45
31,42
21,36
2,8
1,10
38,38
39,66
7,15
24,26
21,32
33,39
35,43
66,108
27,35
3,12
2,12
17,30
8,13
15,30
15,19
6,17
15,33
9,18
11,21
28,35
6,16
2,9
6,15
2,13
7,18
15,25
11,22
8,17
1,11
8,18
16,19
7,15
11,19
13,18
11,17
22,56
7,10
4,13
2,11
19,23
29,33
9,13
12,28
28,26
9,16
59,76
2,15
19,27
11,17
7,12
22,35
82,123
2,9
20,19
9,22
3,14
1,11
6,36
5,22
48,78
4,9
12,20
8,22
8,13
7,10
157,176
56,76
7,14
17,22
7,21
81,95
35,46
9,25
6,9
2,15
4,14
30,33
13,19
55,76
7,11
2,9
2,10
0,42
53,160
26,42
11,21
1,12
12,22
63,96
28,44
21,25
35,48
30,40
11,31
12,17
6,10
162,221
78,89
11,21
16,22
48,47
6,12
6,11
51,54
0,12
7,15
1,12
5,10
17,21
3,11
9,18
6,12
144,175
9,16
17,29
51,61
17,27
55,83
9,16
1,14
9,17
27,33
20,24
0,12
38,41
11,27
13,21
12,21
1,11
8,14
49,61
18,30
13,14
57,72
6,17
15,24
66,78
2,21
19,38
7,14
1,10
67,75
13,12
7,16
54,57
22,24
6,23
82,89
6,12
121,131
3,11
15,15
3,13
1,9
12,17
31,45
6,12
18,25
3,9
13,49
12,23
19,44
18,25
38,57
15,21
34,73
19,20
21,29
26,32
114,135
61,76
7,35
62,78
2,11
8,12
88,98
12,22
1,9
13,18
7,10
2,17
11,24
30,32
4,12
88,110
12,17
16,17
16,31
18,21
15,17
50,66
12,18
15,25
9,21
2,8
2,8
8,16
6,14
24,42
10,21
1,9
1,9
14,17
21,31
0,10
3,11
9,11
1,11
27,48
22,27
