wins,loss
72,57
131,121
78,89
89,81
36,40
135,91
41,40
38,31
80,54
40,43
31,29
85,76
43,28
58,58
36,27
120,144
43,47
45,26
24,12
17,23
95,85
136,147
59,71
83,54
171,161
134,136
47,39
42,55
40,32
33,30
118,92
77,72
91,96
74,62
91,50
53,52
87,85
49,44
92,105
26,26
48,46
38,32
78,69
32,30
109,92
36,35
82,98
80,76
50,34
89,85
36,39
31,23
51,37
21,29
36,39
94,84
93,93
8,2
82,37
48,43
53,33
72,62
60,60
53,37
82,67
22,25
79,53
31,26
36,29
4,7
90,86
71,59
28,17
87,68
70,51
36,29
114,82
115,127
22,30
98,92
41,20
103,71
82,78
76,74
32,26
45,47
77,72
39,49
59,35
114,117
61,77
98,79
34,26
114,74
40,35
123,95
39,36
93,67
120,148
107,102
49,53
38,34
33,27
101,73
195,189
146,126
45,39
29,25
22,30
39,30
19,23
83,98
30,27
50,56
96,114
87,99
165,154
47,40
61,55
48,57
26,28
35,33
43,36
86,68
61,55
39,40
38,44
86,84
83,87
31,33
88,74
56,45
69,53
146,148
65,63
138,146
121,102
37,31
80,62
39,34
57,59
95,85
73,61
58,68
93,98
69,72
96,84
57,56
42,49
183,180
32,15
57,47
80,89
61,56
7,6
11,5
29,13
76,69
44,62
52,46
174,129
40,35
39,43
91,71
44,38
49,47
61,70
32,40
81,61
52,66
59,53
63,69
45,39
81,81
78,81
64,49
117,88
83,64
21,30
38,43
33,37
9,5
30,31
89,60
40,56
51,36
38,28
11,14
50,62
123,109
64,52
91,84
49,41
30,24
36,31
40,35
66,90
88,68
151,158
39,26
48,26
51,47
89,78
37,41
55,47
46,28
104,78
33,35
31,29
51,57
102,85
77,75
42,33
69,70
45,32
80,55
63,60
121,117
142,124
146,124
40,38
192,184
73,71
93,94
77,77
68,61
74,63
63,59
34,51
27,29
53,44
151,139
87,83
16,13
59,55
30,20
13,3
37,20
41,38
56,68
79,88
67,63
81,64
111,97
32,31
47,40
47,43
47,31
65,69
43,40
37,22
28,21
130,119
66,51
77,87
29,33
103,106
38,33
29,29
65,71
122,122
30,17
34,28
76,63
32,17
32,28
98,91
56,68
28,29
111,88
93,84
50,46
36,33
133,132
104,93
116,98
109,70
55,49
48,37
46,27
50,49
32,25
140,143
111,101
35,27
44,44
46,39
121,108
38,34
80,95
100,82
38,30
35,28
54,74
46,43
188,159
73,69
13,18
33,31
185,192
16,19
34,34
120,115
35,32
43,35
58,48
210,189
30,21
120,130
24,18
79,71
29,23
99,89
226,212
79,66
58,46
102,80
81,62
72,68
83,81
107,93
26,4
98,76
22,20
51,41
124,125
58,42
71,60
33,31
41,25
59,56
36,30
112,119
39,58
41,29
41,19
94,82
47,39
69,62
69,75
163,165
86,83
141,130
32,35
104,87
45,40
50,35
58,56
52,69
31,12
112,93
69,52
48,65
56,45
37,13
71,74
69,83
31,17
25,19
68,66
54,56
113,120
31,41
56,64
72,67
75,63
30,22
24,9
25,27
57,56
33,50
64,69
62,47
45,38
33,22
31,23
40,39
38,29
43,32
37,18
126,151
32,30
65,73
94,95
75,72
24,23
32,34
36,25
65,43
56,54
54,47
25,24
59,59
51,65
41,24
41,29
139,148
9,4
112,105
45,41
32,28
60,59
82,72
62,46
41,42
135,103
37,31
28,18
57,57
51,36
68,45
63,65
72,86
187,184
133,122
116,114
33,34
69,54
104,108
55,55
59,61
25,41
52,45
77,66
57,59
39,30
49,47
28,30
119,102
78,97
37,32
133,113
36,34
24,14
80,36
66,41
38,49
53,43
45,36
65,36
6,9
53,51
60,54
76,59
55,47
24,26
31,31
68,58
40,49
34,20
34,36
72,52
111,79
28,34
74,64
91,86
29,28
55,55
54,53
195,174
69,68
70,61
133,127
33,31
39,33
56,30
52,39
48,41
