district,nonlearner,learner
6.91,0,1.0369755215320768e-14
6.94,0,1.077398814301454e-14
6.97,0,1.1193701058021168e-14
7.0,0,1.1629475764073917e-14
7.03,0,1.2081915503198001e-14
7.06,0,1.2551645729267586e-14
7.09,0,1.303931490885601e-14
7.12,0,1.3545595350322995e-14
7.15,0,1.4071184062108796e-14
7.18,0,1.461680364124031e-14
7.21,0,1.5183203193087662e-14
7.24,0,1.5771159283444215e-14
7.27,0,1.638147692403728e-14
7.3,0,1.7014990592619224e-14
7.33,0,1.7672565288817613e-14
7.36,0,1.8355097626974473e-14
7.39,0,1.90635169672324e-14
7.42,0,1.9798786586180977e-14
7.45,0,2.0561904888407238e-14
7.48,0,2.1353906660349635e-14
7.51,0,2.2175864367894604e-14
7.54,0,2.3028889499206348e-14
7.57,0,2.3914133954324584e-14
7.6,0,2.483279148312675e-14
7.63,0,2.5786099173287493e-14
7.66,0,2.6775338989941882e-14
7.69,0,2.7801839368793624e-14
7.72,0,2.8866976864490114e-14
7.75,0,2.997217785612363e-14
7.78,0,3.11189203117978e-14
7.81,0,3.2308735614249545e-14
7.84,0,3.354321044959144e-14
7.87,0,3.482398876129567e-14
7.9,0,3.615277377162946e-14
7.93,0,3.753133007279675e-14
7.96,0,3.896148579014799e-14
7.99,0,4.04451348198621e-14
8.02,0,4.198423914361672e-14
8.05,0,4.358083122281744e-14
8.08,0,4.5237016475057117e-14
8.11,0,4.6954975835562227e-14
8.14,0,4.8736968406462184e-14
8.17,0,5.058533419681954e-14
8.2,0,5.250249695645836e-14
8.23,0,5.449096710671267e-14
8.26,0,5.6553344771329286e-14
8.29,0,5.869232291085853e-14
8.32,0,6.091069056398413e-14
8.35,0,6.321133619933947e-14
8.38,0,6.559725118148409e-14
8.41,0,6.807153335482961e-14
8.44,0,7.063739074942644e-14
8.47,0,7.329814541265031e-14
8.5,0,7.605723737095219e-14
8.53,0,7.891822872597262e-14
8.56,0,8.188480788947177e-14
8.59,0,8.496079396163879e-14
8.62,0,8.815014125753146e-14
8.65,0,9.145694398650594e-14
8.68,0,9.488544108968888e-14
8.71,0,9.844002124069435e-14
8.74,0,1.0212522801492813e-13
8.77,0,1.0594576523304355e-13
8.8,0,1.0990650248423931e-13
8.83,0,1.1401248083531468e-13
8.86,0,1.1826891873154436e-13
8.89,0,1.2268121809566198e-13
8.92,0,1.2725497063143003e-13
8.95,0,1.3199596433847105e-13
8.98,0,1.3691019024525544e-13
9.01,0,1.420038493673579e-13
9.04,0,1.4728335989832005e-13
9.07,0,1.5275536464069796e-13
9.1,0,1.5842673868508448e-13
9.13,0,1.6430459734516705e-13
9.16,0,1.7039630435715327e-13
9.19,0,1.7670948035209978e-13
9.22,0,1.832520116100109e-13
9.25,0,1.9003205910480787e-13
9.28,0,1.9705806784959696e-13
9.31,0,2.0433877655191618e-13
9.34,0,2.1188322758896795e-13
9.37,0,2.197007773131734e-13
9.41,0,2.278011066986594e-13
9.44,0,2.3619423233969433e-13
9.47,0,2.448905178123455e-13
9.5,0,2.5390068541104387e-13
9.53,0,2.632358282721146e-13
9.56,0,2.729074228966413e-13
9.59,0,2.829273420854892e-13
9.62,0,2.93307868299657e-13
9.65,0,3.040617074595676e-13
9.68,0,3.1520200319735175e-13
9.71,0,3.267423515765187e-13
9.74,0,3.386968162939647e-13
9.77,0,3.5107994437968556e-13
9.8,0,3.63906782410037e-13
9.83,0,3.7719289325083354e-13
9.86,0,3.909543733471527e-13
9.89,0,4.052078705772239e-13
9.92,0,4.1997060268823286e-13
9.95,0,4.3526037633249317e-13
9.98,0,4.51095606723029e-13
10.01,0,4.67495337928088e-13
10.04,0,4.844792638248493e-13
10.07,0,5.020677497330448e-13
10.1,0,5.202818547499884e-13
10.13,0,5.391433548091139e-13
10.16,0,5.58674766484755e-13
10.19,0,5.788993715666761e-13
10.22,0,5.99841242428466e-13
10.25,0,6.215252682147797e-13
10.28,0,6.439771818730953e-13
10.31,0,6.672235880563817e-13
10.34,0,6.912919919239455e-13
10.37,0,7.162108288686141e-13
10.4,0,7.420094951991281e-13
10.43,0,7.687183798074937e-13
10.46,0,7.963688968520917e-13
10.49,0,8.249935194881734e-13
10.52,0,8.546258146782746e-13
10.55,0,8.85300479116125e-13
10.58,0,9.170533762987024e-13
10.61,0,9.499215747819278e-13
10.64,0,9.839433876568623e-13
10.67,0,1.0191584132840125e-12
10.7,0,1.0556075773247356e-12
10.73,0,1.09333317610993e-12
10.76,0,1.1323789213871278e-12
10.79,0,1.1727899864886508e-12
10.82,0,1.2146130539644553e-12
10.85,0,1.2578963647249808e-12
10.88,0,1.3026897687402716e-12
10.91,0,1.3490447773431565e-12
10.94,0,1.3970146171859216e-12
10.97,0,1.4466542859009433e-12
11.0,0,1.4980206095177001e-12
11.03,0,1.5511723016897606e-12
11.06,0,1.6061700247870358e-12
11.09,0,1.6630764529105656e-12
11.12,0,1.7219563368881484e-12
11.15,0,1.7828765713114668e-12
11.18,0,1.8459062636766354e-12
11.21,0,1.9111168056923902e-12
11.24,0,1.9785819468217452e-12
11.27,0,2.048377870124857e-12
11.3,0,2.1205832704728123e-12
11.33,0,2.1952794352045273e-12
11.36,0,2.272550327300444e-12
11.39,0,2.3524826711491455e-12
11.42,0,2.4351660409851904e-12
11.45,0,2.5206929520791713e-12
11.48,0,2.6091589547624863e-12
11.51,0,2.700662731372416e-12
11.54,0,2.795306196205499e-12
11.57,0,2.893194598569405e-12
11.6,0,2.9944366290266966e-12
11.63,0,3.0991445289258422e-12
11.66,0,3.2074342033181314e-12
11.69,0,3.3194253373622274e-12
11.72,0,3.4352415163200625e-12
11.75,0,3.5550103492519904e-12
11.78,0,3.678863596521062e-12
11.81,0,3.806937301220349e-12
11.84,0,3.939371924640381e-12
11.87,0,4.076312485896355e-12
11.9,0,4.217908705839061e-12
11.93,0,4.364315155377036e-12
11.96,0,4.515691408340465e-12
11.99,0,4.672202199021469e-12
12.02,0,4.834017584529124e-12
12.05,0,5.001313112102292e-12
12.08,0,5.174269991525832e-12
12.11,0,5.353075272801307e-12
12.14,0,5.5379220292272785e-12
12.17,0,5.72900954604797e-12
12.2,0,5.926543514835033e-12
12.23,0,6.130736233769889e-12
12.26,0,6.341806814000471e-12
12.29,0,6.5599813922510626e-12
12.32,0,6.785493349867266e-12
12.35,0,7.018583538485659e-12
12.38,0,7.259500512520941e-12
12.41,0,7.508500768670262e-12
12.44,0,7.76584899263986e-12
12.47,0,8.031818313303111e-12
12.5,0,8.306690564508382e-12
12.53,0,8.590756554757235e-12
12.56,0,8.884316344983739e-12
12.59,0,9.187679534668071e-12
12.62,0,9.501165556527207e-12
12.65,0,9.825103980031505e-12
12.68,0,1.0159834824001342e-11
12.71,0,1.0505708878547576e-11
12.74,0,1.0863088036624683e-11
12.77,0,1.1232345635474057e-11
12.8,0,1.1613866808243621e-11
12.83,0,1.2008048846074759e-11
12.86,0,1.2415301570958368e-11
12.89,0,1.2836047719670595e-11
12.92,0,1.3270723339103856e-11
12.95,0,1.3719778193322163e-11
12.98,0,1.4183676182673636e-11
13.01,0,1.4662895775308373e-11
13.04,0,1.5157930451453513e-11
13.07,0,1.566928916081045e-11
13.1,0,1.619749679344839e-11
13.13,0,1.6743094664578573e-11
13.16,0,1.7306641013604468e-11
13.19,0,1.788871151785251e-11
13.22,0,1.848989982140018e-11
13.25,0,1.911081807943203e-11
13.28,0,1.9752097518559418e-11
13.31,0,2.0414389013559427e-11
13.34,0,2.1098363680993702e-11
13.37,0,2.180471349018656e-11
13.4,0,2.2534151892051245e-11
13.43,0,2.328741446626527e-11
13.46,0,2.4065259587312685e-11
13.49,0,2.4868469109924673e-11
13.52,0,2.5697849074461866e-11
13.55,0,2.6554230432796523e-11
13.58,0,2.7438469795270575e-11
13.61,0,2.8351450199319894e-11
13.64,0,2.9294081900369456e-11
13.67,0,3.026730318561977e-11
13.7,0,3.1272081211366494e-11
13.73,0,3.230941286450547e-11
13.76,0,3.3380325648900507e-11
13.79,0,3.448587859729965e-11
13.82,0,3.5627163209512824e-11
13.85,0,3.680530441758088e-11
13.88,0,3.802146157867877e-11
13.91,0,3.9276829496526566e-11
13.94,0,4.05726394720895e-11
13.97,0,4.191016038438246e-11
14.0,0,4.3290699802206533e-11
14.03,0,4.471560512766794e-11
14.06,0,4.618626477235599e-11
14.09,0,4.7704109367079395e-11
14.12,0,4.927061300608032e-11
14.15,0,5.0887294526671505e-11
14.18,0,5.255571882526582e-11
14.21,0,5.427749821080058e-11
14.24,0,5.6054293796571414e-11
14.27,0,5.788781693152587e-11
14.3,0,5.977983067209767e-11
14.33,0,6.173215129567849e-11
14.36,0,6.374664985686909e-11
14.39,0,6.582525378766426e-11
14.42,0,6.796994854276549e-11
14.45,0,7.018277929125494e-11
14.48,0,7.246585265586946e-11
14.51,0,7.482133850118043e-11
14.54,0,7.725147177198341e-11
14.57,0,7.975855438326836e-11
14.6,0,8.234495716315359e-11
14.63,0,8.501312185020464e-11
14.66,0,8.77655631466143e-11
14.69,0,9.060487082872966e-11
14.72,0,9.35337119164808e-11
14.75,0,9.655483290327306e-11
14.78,0,9.967106204797178e-11
14.81,0,1.0288531173064347e-10
14.84,0,1.0620058087374345e-10
14.87,0,1.0961995743050992e-10
14.9,0,1.1314662094234253e-10
14.93,0,1.167838451670094e-10
14.96,0,1.2053500077957005e-10
14.99,0,1.244035581479306e-10
15.02,0,1.2839309018501758e-10
15.05,0,1.325072752796066e-10
15.08,0,1.367499003078834e-10
15.11,0,1.4112486372785943e-10
15.14,0,1.4563617875883994e-10
15.17,0,1.5028797664819232e-10
15.2,0,1.5508451002770032e-10
15.23,0,1.6003015636186159e-10
15.26,0,1.651294214905582e-10
15.29,0,1.7038694326855183e-10
15.32,0,1.7580749530437374e-10
15.35,0,1.8139599080117735e-10
15.38,0,1.871574865022314e-10
15.41,0,1.930971867438047e-10
15.44,0,1.992204476182117e-10
15.47,0,2.0553278124991252e-10
15.5,0,2.1203986018759086e-10
15.53,0,2.1874752191523087e-10
15.56,0,2.2566177348530204e-10
15.59,0,2.327887962771712e-10
15.62,0,2.4013495088401547e-10
15.66,0,2.4770678213156394e-10
15.69,0,2.555110242320562e-10
15.72,0,2.635546060769055e-10
15.75,0,2.718446566716405e-10
15.78,0,2.8038851071680296e-10
15.81,0,2.8919371433853915e-10
15.84,0,2.9826803097270604e-10
15.87,0,3.076194474064763e-10
15.9,0,3.1725617998142053e-10
15.93,0,3.2718668096225174e-10
15.96,0,3.3741964507540344e-10
15.99,0,3.47964016221808e-10
16.02,0,3.5882899436832736e-10
16.05,0,3.700240426223334e-10
16.08,0,3.815588944941437e-10
16.11,0,3.9344356135203206e-10
16.14,0,4.056883400747329e-10
16.17,0,4.183038209064294e-10
16.2,0,4.3130089551931997e-10
16.23,0,4.4469076528904605e-10
16.26,0,4.5848494978829416e-10
16.29,0,4.726952955041493e-10
16.32,0,4.873339847847382e-10
16.35,0,5.024135450209498e-10
16.38,0,5.179468580692006e-10
16.41,0,5.339471699211739e-10
16.44,0,5.504281006267995e-10
16.47,0,5.674036544767352e-10
16.5,0,5.848882304508937e-10
16.53,0,6.028966329396154e-10
16.56,0,6.214440827442597e-10
16.59,0,6.405462283641619e-10
16.62,0,6.602191575771097e-10
16.65,0,6.804794093206134e-10
16.68,0,7.013439858813243e-10
16.71,0,7.228303654003432e-10
16.74,0,7.449565147021722e-10
16.77,0,7.677409024552941e-10
16.8,0,7.912025126725305e-10
16.83,0,8.153608585595823e-10
16.86,0,8.402359967202565e-10
16.89,0,8.658485417272126e-10
16.92,0,8.922196810670893e-10
16.95,0,9.193711904691934e-10
16.98,0,9.473254496272487e-10
17.01,0,9.761054583235982e-10
17.04,0,1.005734852965852e-09
17.07,0,1.036237923545884e-09
17.1,0,1.0676396310315234e-09
17.13,0,1.0999656252014885e-09
17.16,0,1.13324226293416e-09
17.19,0,1.1674966269613006e-09
17.22,0,1.202756545097954e-09
17.25,0,1.2390506099600395e-09
17.28,0,1.2764081991812858e-09
17.31,0,1.3148594961416303e-09
17.34,0,1.35443551121944e-09
17.37,0,1.3951681035799869e-09
17.4,0,1.437090003513127e-09
17.43,0,1.4802348353333667e-09
17.46,0,1.524637140855625e-09
17.49,0,1.5703324034607115e-09
17.52,0,1.6173570727642813e-09
17.55,0,1.6657485899037636e-09
17.58,0,1.7155454134581303e-09
17.61,0,1.7667870460152267e-09
17.64,0,1.8195140614023374e-09
17.67,0,1.873768132595376e-09
17.7,0,1.9295920603230502e-09
17.73,0,1.9870298023823028e-09
17.76,0,2.0461265036817387e-09
17.79,0,2.1069285270301885e-09
17.82,0,2.1694834846881413e-09
17.85,0,2.2338402706997666e-09
17.88,0,2.300049094023859e-09
17.91,0,2.3681615124823745e-09
17.94,0,2.4382304675459532e-09
17.97,0,2.5103103199757003e-09
18.0,0,2.584456886341139e-09
18.03,0,2.6607274764351267e-09
18.06,0,2.7391809316061166e-09
18.09,0,2.8198776640295983e-09
18.12,0,2.9028796969398897e-09
18.15,0,2.9882507058450043e-09
18.18,0,3.0760560607472308e-09
18.21,0,3.1663628693923978e-09
18.24,0,3.259240021571948e-09
18.27,0,3.3547582345015097e-09
18.3,0,3.452990099301457e-09
18.33,0,3.5540101286041044e-09
18.36,0,3.6578948053135084e-09
18.39,0,3.764722632544696e-09
18.42,0,3.874574184768509e-09
18.45,0,3.987532160190511e-09
18.48,0,4.103681434391165e-09
18.51,0,4.223109115256493e-09
18.54,0,4.345904599228695e-09
18.57,0,4.472159628906107e-09
18.6,0,4.601968352023666e-09
18.63,0,4.735427381844663e-09
18.66,0,4.872635858995757e-09
18.69,0,5.013695514778317e-09
18.72,0,5.158710735988483e-09
18.75,0,5.3077886312803e-09
18.78,0,5.461039099106791e-09
18.81,0,5.618574897274214e-09
18.84,0,5.780511714145239e-09
18.87,0,5.946968241528099e-09
18.9,0,6.1180662492899186e-09
18.93,0,6.293930661731823e-09
18.96,0,6.4746896357653404e-09
18.99,0,6.6604746409301884e-09
19.02,0,6.851420541294235e-09
19.05,0,7.047665679277511e-09
19.08,0,7.249351961442393e-09
19.11,0,7.456624946293356e-09
19.14,0,7.669633934131662e-09
19.17,0,7.888532059008496e-09
19.2,0,8.11347638282432e-09
19.23,0,8.344627991620196e-09
19.26,0,8.582152094109912e-09
19.29,0,8.826218122502121e-09
19.32,0,9.076999835661525e-09
19.35,0,9.334675424660707e-09
19.38,0,9.599427620775008e-09
19.41,0,9.87144380597321e-09
19.44,0,1.0150916125957752e-08
19.47,0,1.043804160581012e-08
19.5,0,1.0733022268298334e-08
19.53,0,1.103606525490314e-08
19.56,0,1.1347382949621672e-08
19.59,0,1.1667193105608945e-08
19.62,0,1.1995718974717441e-08
19.65,0,1.2333189439998118e-08
19.68,0,1.267983915122464e-08
19.71,0,1.303590866350659e-08
19.74,0,1.3401644579058172e-08
19.77,0,1.3777299692187955e-08
19.8,0,1.4163133137580222e-08
19.83,0,1.4559410541935923e-08
19.86,0,1.496640417904586e-08
19.89,0,1.538439312836923e-08
19.92,0,1.581366343718936e-08
19.95,0,1.6254508286424877e-08
19.98,0,1.6707228160171345e-08
20.01,0,1.7172131019053608e-08
20.04,0,1.7649532477467105e-08
20.07,0,1.8139755984790356e-08
20.1,0,1.864313301065327e-08
20.13,0,1.9160003234343548e-08
20.16,0,1.9690714738439494e-08
20.19,0,2.0235624206755984e-08
20.22,0,2.079509712669372e-08
20.25,0,2.1369507996084862e-08
20.28,0,2.195924053462478e-08
20.31,0,2.2564687899987253e-08
20.34,0,2.318625290871996e-08
20.37,0,2.382434826201839e-08
20.4,0,2.4479396776477294e-08
20.43,0,2.515183161992344e-08
20.46,0,2.584209655243449e-08
20.49,0,2.6550646172648552e-08
20.52,0,2.7277946169473112e-08
20.55,0,2.802447357930425e-08
20.58,0,2.8790717048866994e-08
20.61,0,2.9577177103793943e-08
20.64,0,3.038436642305465e-08
20.67,0,3.121281011935658e-08
20.7,0,3.206304602563991e-08
20.73,0,3.293562498778598e-08
20.76,0,3.38311111636673e-08
20.79,0,3.475008232866445e-08
20.82,0,3.5693130187781575e-08
20.85,0,3.6660860694493743e-08
20.88,0,3.765389437645676e-08
20.91,0,3.867286666821986e-08
20.94,0,3.9718428251081135e-08
20.97,0,4.079124540022732e-08
21.0,0,4.1892000339300245e-08
21.03,0,4.302139160254e-08
21.06,0,4.4180134404655563e-08
21.09,0,4.536896101857306e-08
21.12,0,4.658862116121718e-08
21.15,0,4.783988238748703e-08
21.18,0,4.9123530492582137e-08
21.21,0,5.044036992285005e-08
21.24,0,5.179122419531385e-08
21.27,0,5.317693632605358e-08
21.3,0,5.4598369267616756e-08
21.33,0,5.605640635562859e-08
21.36,0,5.755195176478282e-08
21.39,0,5.908593097439762e-08
21.42,0,6.065929124371631e-08
21.45,0,6.227300209714682e-08
21.48,0,6.392805581962809e-08
21.51,0,6.562546796231897e-08
21.54,0,6.736627785880935e-08
21.57,0,6.915154915205321e-08
21.6,0,7.098237033223034e-08
21.63,0,7.285985528574468e-08
21.66,0,7.478514385557167e-08
21.69,0,7.675940241317265e-08
21.72,0,7.878382444218995e-08
21.75,0,8.085963113415421e-08
21.78,0,8.298807199642466e-08
21.81,0,8.517042547259693e-08
21.84,0,8.740799957561031e-08
21.87,0,8.970213253379628e-08
21.91,0,9.205419345011e-08
21.94,0,9.446558297478962e-08
21.97,0,9.693773399169878e-08
22.0,0,9.947211231860169e-08
22.03,0,1.0207021742163897e-07
22.06,0,1.0473358314425418e-07
22.09,0,1.0746377845085562e-07
22.12,0,1.1026240818547274e-07
22.15,0,1.1313111384569073e-07
22.18,0,1.1607157437214276e-07
22.21,0,1.1908550695384643e-07
22.24,0,1.2217466784967485e-07
22.27,0,1.2534085322625826e-07
22.3,0,1.2858590001261528e-07
22.33,0,1.3191168677182343e-07
22.36,0,1.3532013459002852e-07
22.39,0,1.3881320798312102e-07
22.42,0,1.4239291582139123e-07
22.45,0,1.4606131227248856e-07
22.48,0,1.4982049776301898e-07
22.51,0,1.5367261995911446e-07
22.54,0,1.5761987476631243e-07
22.57,0,1.616645073490978e-07
22.6,0,1.658088131704521e-07
22.63,0,1.7005513905177475e-07
22.66,0,1.7440588425352912e-07
22.69,0,1.7886350157699217e-07
22.72,0,1.834304984874774e-07
22.75,0,1.8810943825940877e-07
22.78,0,1.9290294114363552e-07
22.81,0,1.978136855573774e-07
22.84,0,2.0284440929719902e-07
22.87,0,2.079979107754171e-07
22.9,0,2.1327705028035028e-07
22.93,0,2.186847512608275e-07
22.96,0,2.242240016353837e-07
22.99,0,2.2989785512655476e-07
23.02,0,2.3570943262073226e-07
23.05,0,2.416619235539968e-07
23.08,0,2.477585873243957e-07
23.11,0,2.5400275473110633e-07
23.14,0,2.6039782944096153e-07
23.17,0,2.669472894827915e-07
23.2,0,2.736546887700718e-07
23.23,0,2.8052365865234826e-07
23.26,0,2.87557909495942e-07
23.29,0,2.9476123229441335e-07
23.32,0,3.021375003093104e-07
23.35,0,3.0969067074169853e-07
23.38,0,3.1742478643499646e-07
23.41,0,3.2534397760964365e-07
23.44,0,3.3345246363013475e-07
23.47,0,3.417545548049619e-07
23.5,0,3.5025465422001437e-07
23.53,0,3.589572596059927e-07
23.56,0,3.6786696524041175e-07
23.59,0,3.7698846388473965e-07
23.62,0,3.8632654875729295e-07
23.65,0,3.958861155424419e-07
23.68,0,4.0567216443674895e-07
23.71,0,4.156898022326269e-07
23.74,0,4.25944244440151e-07
23.77,0,4.36440817447627e-07
23.8,0,4.471849607215684e-07
23.83,0,4.58182229046705e-07
23.86,0,4.694382948066765e-07
23.89,0,4.80958950306092e-07
23.92,0,4.927501101345682e-07
23.95,0,5.048178135734856e-07
23.98,0,5.171682270461045e-07
24.01,0,5.298076466117498e-07
24.04,0,5.427425005047683e-07
